"Campbell Live","Close Up","Seven Sharp","One News","3 News","Date"
NA,NA,NA,NA,NA,2010-04-19
NA,NA,NA,NA,NA,2010-04-20
NA,NA,NA,NA,NA,2010-04-21
NA,NA,NA,NA,NA,2010-04-22
NA,NA,NA,NA,NA,2010-04-23
NA,NA,NA,NA,NA,2010-04-24
NA,NA,NA,NA,NA,2010-04-25
NA,NA,NA,NA,NA,2010-04-26
NA,NA,NA,NA,NA,2010-04-27
NA,NA,NA,NA,NA,2010-04-28
NA,NA,NA,NA,NA,2010-04-29
NA,NA,NA,NA,NA,2010-04-30
NA,NA,NA,NA,NA,2010-05-01
NA,NA,NA,NA,NA,2010-05-02
NA,NA,NA,NA,NA,2010-05-03
NA,NA,NA,NA,NA,2010-05-04
NA,NA,NA,NA,NA,2010-05-05
NA,NA,NA,NA,NA,2010-05-06
NA,NA,NA,NA,NA,2010-05-07
NA,NA,NA,NA,NA,2010-05-08
NA,NA,NA,NA,NA,2010-05-09
NA,NA,NA,NA,NA,2010-05-10
NA,NA,NA,NA,NA,2010-05-11
NA,NA,NA,NA,NA,2010-05-12
NA,NA,NA,NA,NA,2010-05-13
NA,NA,NA,NA,NA,2010-05-14
NA,NA,NA,NA,NA,2010-05-15
NA,NA,NA,NA,NA,2010-05-16
NA,NA,NA,NA,NA,2010-05-17
NA,NA,NA,NA,NA,2010-05-18
NA,NA,NA,NA,NA,2010-05-19
NA,NA,NA,NA,NA,2010-05-20
NA,NA,NA,NA,NA,2010-05-21
NA,NA,NA,NA,NA,2010-05-22
NA,NA,NA,NA,NA,2010-05-23
NA,NA,NA,NA,NA,2010-05-24
NA,NA,NA,NA,NA,2010-05-25
NA,NA,NA,NA,NA,2010-05-26
NA,NA,NA,NA,NA,2010-05-27
NA,NA,NA,NA,NA,2010-05-28
NA,NA,NA,NA,NA,2010-05-29
NA,NA,NA,NA,NA,2010-05-30
NA,NA,NA,NA,NA,2010-05-31
NA,NA,NA,NA,NA,2010-06-01
NA,NA,NA,NA,NA,2010-06-02
NA,NA,NA,NA,NA,2010-06-03
NA,NA,NA,NA,NA,2010-06-04
NA,NA,NA,NA,NA,2010-06-05
NA,NA,NA,NA,NA,2010-06-06
NA,NA,NA,NA,NA,2010-06-07
NA,NA,NA,NA,NA,2010-06-08
NA,NA,NA,NA,NA,2010-06-09
NA,NA,NA,NA,NA,2010-06-10
NA,515780,NA,633180,372140,2010-06-11
NA,NA,NA,NA,NA,2010-06-12
NA,NA,NA,NA,NA,2010-06-13
NA,NA,NA,NA,NA,2010-06-14
NA,NA,NA,NA,NA,2010-06-15
NA,NA,NA,NA,NA,2010-06-16
NA,NA,NA,NA,NA,2010-06-17
NA,NA,NA,NA,NA,2010-06-18
NA,NA,NA,NA,NA,2010-06-19
NA,NA,NA,NA,NA,2010-06-20
NA,NA,NA,NA,NA,2010-06-21
NA,NA,NA,NA,NA,2010-06-22
NA,NA,NA,NA,NA,2010-06-23
NA,NA,NA,NA,NA,2010-06-24
NA,NA,NA,NA,NA,2010-06-25
NA,NA,NA,NA,NA,2010-06-26
NA,NA,NA,NA,NA,2010-06-27
NA,NA,NA,NA,NA,2010-06-28
NA,NA,NA,NA,NA,2010-06-29
NA,NA,NA,NA,NA,2010-06-30
NA,NA,NA,NA,NA,2010-07-01
NA,NA,NA,NA,NA,2010-07-02
NA,NA,NA,NA,NA,2010-07-03
NA,NA,NA,NA,NA,2010-07-04
NA,NA,NA,NA,NA,2010-07-05
NA,NA,NA,NA,NA,2010-07-06
NA,NA,NA,NA,NA,2010-07-07
NA,NA,NA,NA,NA,2010-07-08
NA,NA,NA,NA,NA,2010-07-09
NA,NA,NA,NA,NA,2010-07-10
NA,NA,NA,NA,NA,2010-07-11
NA,NA,NA,NA,NA,2010-07-12
NA,NA,NA,NA,NA,2010-07-13
302050,536940,NA,627500,420150,2010-07-14
NA,NA,NA,NA,NA,2010-07-15
NA,NA,NA,NA,NA,2010-07-16
NA,NA,NA,NA,NA,2010-07-17
NA,NA,NA,NA,NA,2010-07-18
NA,NA,NA,NA,NA,2010-07-19
NA,NA,NA,NA,NA,2010-07-20
NA,NA,NA,NA,NA,2010-07-21
NA,NA,NA,NA,NA,2010-07-22
NA,NA,NA,NA,NA,2010-07-23
NA,NA,NA,NA,NA,2010-07-24
NA,NA,NA,NA,NA,2010-07-25
NA,NA,NA,NA,NA,2010-07-26
NA,NA,NA,NA,NA,2010-07-27
NA,NA,NA,NA,NA,2010-07-28
NA,NA,NA,NA,NA,2010-07-29
NA,NA,NA,NA,NA,2010-07-30
NA,NA,NA,NA,NA,2010-07-31
NA,NA,NA,NA,NA,2010-08-01
NA,NA,NA,NA,NA,2010-08-02
NA,NA,NA,NA,NA,2010-08-03
NA,NA,NA,NA,NA,2010-08-04
NA,NA,NA,NA,NA,2010-08-05
NA,NA,NA,NA,NA,2010-08-06
NA,NA,NA,NA,NA,2010-08-07
NA,NA,NA,NA,NA,2010-08-08
NA,NA,NA,NA,NA,2010-08-09
NA,NA,NA,NA,NA,2010-08-10
NA,NA,NA,NA,NA,2010-08-11
NA,NA,NA,NA,NA,2010-08-12
NA,NA,NA,NA,NA,2010-08-13
NA,NA,NA,NA,NA,2010-08-14
NA,NA,NA,NA,NA,2010-08-15
NA,NA,NA,NA,NA,2010-08-16
NA,NA,NA,NA,NA,2010-08-17
NA,NA,NA,NA,NA,2010-08-18
NA,NA,NA,NA,NA,2010-08-19
NA,NA,NA,NA,NA,2010-08-20
NA,NA,NA,NA,NA,2010-08-21
NA,NA,NA,NA,NA,2010-08-22
NA,NA,NA,NA,NA,2010-08-23
NA,NA,NA,NA,NA,2010-08-24
NA,NA,NA,NA,NA,2010-08-25
NA,NA,NA,NA,NA,2010-08-26
NA,NA,NA,NA,NA,2010-08-27
NA,NA,NA,NA,NA,2010-08-28
NA,NA,NA,NA,NA,2010-08-29
NA,NA,NA,NA,NA,2010-08-30
NA,NA,NA,NA,NA,2010-08-31
NA,NA,NA,NA,NA,2010-09-01
NA,NA,NA,NA,NA,2010-09-02
NA,560900,NA,661620,391060,2010-09-03
NA,NA,NA,NA,NA,2010-09-04
NA,NA,NA,NA,NA,2010-09-05
NA,NA,NA,NA,NA,2010-09-06
NA,NA,NA,NA,NA,2010-09-07
NA,NA,NA,NA,NA,2010-09-08
NA,NA,NA,NA,NA,2010-09-09
NA,NA,NA,NA,NA,2010-09-10
NA,NA,NA,NA,NA,2010-09-11
NA,NA,NA,NA,NA,2010-09-12
NA,NA,NA,NA,NA,2010-09-13
NA,NA,NA,NA,NA,2010-09-14
NA,NA,NA,NA,NA,2010-09-15
NA,NA,NA,NA,NA,2010-09-16
NA,NA,NA,NA,NA,2010-09-17
NA,NA,NA,NA,NA,2010-09-18
NA,NA,NA,NA,NA,2010-09-19
NA,NA,NA,NA,NA,2010-09-20
NA,NA,NA,NA,NA,2010-09-21
NA,NA,NA,NA,NA,2010-09-22
NA,NA,NA,NA,NA,2010-09-23
NA,NA,NA,NA,NA,2010-09-24
NA,NA,NA,NA,NA,2010-09-25
NA,NA,NA,NA,NA,2010-09-26
NA,NA,NA,NA,NA,2010-09-27
NA,NA,NA,NA,NA,2010-09-28
NA,NA,NA,NA,NA,2010-09-29
NA,NA,NA,NA,NA,2010-09-30
NA,NA,NA,NA,NA,2010-10-01
NA,NA,NA,NA,NA,2010-10-02
NA,NA,NA,630610,269440,2010-10-03
NA,NA,NA,NA,NA,2010-10-04
NA,NA,NA,NA,NA,2010-10-05
NA,NA,NA,NA,NA,2010-10-06
NA,NA,NA,NA,NA,2010-10-07
NA,NA,NA,NA,NA,2010-10-08
NA,NA,NA,NA,NA,2010-10-09
NA,NA,NA,NA,NA,2010-10-10
NA,NA,NA,NA,NA,2010-10-11
NA,NA,NA,NA,NA,2010-10-12
NA,NA,NA,NA,NA,2010-10-13
NA,NA,NA,NA,NA,2010-10-14
NA,NA,NA,NA,NA,2010-10-15
NA,NA,NA,NA,NA,2010-10-16
NA,NA,NA,NA,NA,2010-10-17
NA,NA,NA,NA,NA,2010-10-18
NA,NA,NA,NA,NA,2010-10-19
NA,NA,NA,NA,NA,2010-10-20
NA,NA,NA,NA,NA,2010-10-21
NA,NA,NA,NA,NA,2010-10-22
NA,NA,NA,NA,NA,2010-10-23
NA,NA,NA,NA,NA,2010-10-24
NA,NA,NA,NA,NA,2010-10-25
NA,NA,NA,NA,NA,2010-10-26
NA,NA,NA,NA,NA,2010-10-27
NA,NA,NA,NA,NA,2010-10-28
NA,NA,NA,NA,NA,2010-10-29
NA,NA,NA,NA,NA,2010-10-30
NA,NA,NA,NA,NA,2010-10-31
NA,NA,NA,NA,NA,2010-11-01
NA,NA,NA,NA,NA,2010-11-02
NA,NA,NA,NA,NA,2010-11-03
NA,NA,NA,NA,NA,2010-11-04
NA,NA,NA,NA,NA,2010-11-05
NA,NA,NA,NA,NA,2010-11-06
NA,NA,NA,NA,NA,2010-11-07
NA,NA,NA,NA,NA,2010-11-08
NA,NA,NA,NA,NA,2010-11-09
NA,NA,NA,NA,NA,2010-11-10
NA,NA,NA,NA,NA,2010-11-11
NA,NA,NA,NA,NA,2010-11-12
NA,NA,NA,NA,NA,2010-11-13
NA,NA,NA,NA,NA,2010-11-14
NA,NA,NA,NA,NA,2010-11-15
NA,NA,NA,NA,NA,2010-11-16
NA,NA,NA,NA,NA,2010-11-17
NA,NA,NA,NA,NA,2010-11-18
NA,NA,NA,NA,NA,2010-11-19
NA,NA,NA,NA,NA,2010-11-20
NA,NA,NA,876650,684150,2010-11-21
NA,NA,NA,NA,NA,2010-11-22
NA,NA,NA,NA,NA,2010-11-23
NA,NA,NA,NA,NA,2010-11-24
NA,NA,NA,NA,NA,2010-11-25
NA,NA,NA,NA,NA,2010-11-26
NA,NA,NA,NA,NA,2010-11-27
NA,NA,NA,NA,NA,2010-11-28
NA,NA,NA,NA,NA,2010-11-29
NA,NA,NA,NA,NA,2010-11-30
NA,NA,NA,NA,NA,2010-12-01
NA,NA,NA,NA,NA,2010-12-02
NA,NA,NA,NA,NA,2010-12-03
NA,NA,NA,NA,NA,2010-12-04
NA,NA,NA,NA,NA,2010-12-05
NA,NA,NA,NA,NA,2010-12-06
NA,NA,NA,NA,NA,2010-12-07
NA,NA,NA,NA,NA,2010-12-08
NA,NA,NA,NA,NA,2010-12-09
NA,NA,NA,NA,NA,2010-12-10
NA,NA,NA,NA,NA,2010-12-11
NA,NA,NA,NA,NA,2010-12-12
NA,NA,NA,NA,NA,2010-12-13
206950,483770,NA,611570,288860,2010-12-14
NA,NA,NA,NA,NA,2010-12-15
NA,NA,NA,NA,NA,2010-12-16
NA,348950,NA,476660,204370,2010-12-17
NA,NA,NA,NA,NA,2010-12-18
NA,NA,NA,NA,NA,2010-12-19
NA,NA,NA,NA,NA,2010-12-20
NA,NA,NA,NA,NA,2010-12-21
NA,NA,NA,NA,NA,2010-12-22
NA,NA,NA,NA,NA,2010-12-23
NA,NA,NA,NA,NA,2010-12-24
NA,NA,NA,NA,NA,2010-12-25
NA,NA,NA,NA,NA,2010-12-26
NA,NA,NA,NA,NA,2010-12-27
NA,NA,NA,NA,NA,2010-12-28
NA,NA,NA,NA,NA,2010-12-29
NA,NA,NA,NA,NA,2010-12-30
NA,NA,NA,NA,NA,2010-12-31
NA,NA,NA,NA,NA,2011-01-01
NA,NA,NA,NA,NA,2011-01-02
NA,NA,NA,NA,NA,2011-01-03
NA,NA,NA,NA,NA,2011-01-04
NA,NA,NA,NA,NA,2011-01-05
NA,NA,NA,NA,NA,2011-01-06
NA,NA,NA,NA,NA,2011-01-07
NA,NA,NA,NA,NA,2011-01-08
NA,NA,NA,NA,NA,2011-01-09
NA,NA,NA,NA,NA,2011-01-10
NA,NA,NA,NA,NA,2011-01-11
NA,NA,NA,NA,NA,2011-01-12
NA,NA,NA,NA,NA,2011-01-13
NA,NA,NA,NA,NA,2011-01-14
NA,NA,NA,NA,NA,2011-01-15
NA,NA,NA,NA,NA,2011-01-16
NA,NA,NA,NA,NA,2011-01-17
NA,NA,NA,NA,NA,2011-01-18
NA,NA,NA,NA,NA,2011-01-19
NA,NA,NA,NA,NA,2011-01-20
NA,NA,NA,NA,NA,2011-01-21
NA,NA,NA,NA,NA,2011-01-22
NA,NA,NA,NA,NA,2011-01-23
NA,NA,NA,NA,NA,2011-01-24
NA,NA,NA,NA,NA,2011-01-25
NA,NA,NA,NA,NA,2011-01-26
NA,NA,NA,NA,NA,2011-01-27
NA,NA,NA,NA,NA,2011-01-28
NA,NA,NA,NA,NA,2011-01-29
NA,NA,NA,NA,NA,2011-01-30
NA,NA,NA,NA,NA,2011-01-31
NA,NA,NA,NA,NA,2011-02-01
NA,NA,NA,NA,NA,2011-02-02
NA,NA,NA,NA,NA,2011-02-03
NA,NA,NA,NA,NA,2011-02-04
NA,NA,NA,NA,NA,2011-02-05
NA,NA,NA,NA,NA,2011-02-06
NA,NA,NA,NA,NA,2011-02-07
NA,NA,NA,NA,NA,2011-02-08
NA,NA,NA,NA,NA,2011-02-09
NA,NA,NA,NA,NA,2011-02-10
NA,NA,NA,NA,NA,2011-02-11
NA,NA,NA,NA,NA,2011-02-12
NA,NA,NA,NA,NA,2011-02-13
NA,NA,NA,NA,NA,2011-02-14
NA,NA,NA,NA,NA,2011-02-15
NA,NA,NA,NA,NA,2011-02-16
NA,NA,NA,NA,NA,2011-02-17
NA,NA,NA,NA,NA,2011-02-18
NA,NA,NA,NA,NA,2011-02-19
NA,NA,NA,602310,283490,2011-02-20
243250,479490,NA,642140,305130,2011-02-21
NA,NA,NA,506440,1915300,2011-02-22
390780,NA,NA,481350,430980,2011-02-23
289120,557400,NA,1577460,558600,2011-02-24
241710,519560,NA,1641160,511660,2011-02-25
NA,NA,NA,1189560,254700,2011-02-26
NA,NA,NA,858990,325110,2011-02-27
NA,NA,NA,NA,NA,2011-02-28
272370,467750,NA,651770,345880,2011-03-01
198820,474660,NA,645560,257300,2011-03-02
221150,418690,NA,595740,279750,2011-03-03
217160,375430,NA,535780,260530,2011-03-04
NA,NA,NA,669800,357390,2011-03-05
NA,NA,NA,678140,370460,2011-03-06
NA,NA,NA,NA,NA,2011-03-07
NA,NA,NA,NA,NA,2011-03-08
NA,NA,NA,NA,NA,2011-03-09
NA,NA,NA,NA,NA,2011-03-10
NA,NA,NA,NA,NA,2011-03-11
NA,NA,NA,NA,NA,2011-03-12
NA,NA,NA,NA,NA,2011-03-13
NA,NA,NA,NA,NA,2011-03-14
NA,NA,NA,NA,NA,2011-03-15
NA,NA,NA,NA,NA,2011-03-16
NA,NA,NA,NA,NA,2011-03-17
NA,NA,NA,NA,NA,2011-03-18
NA,NA,NA,NA,NA,2011-03-19
NA,NA,NA,NA,NA,2011-03-20
NA,NA,NA,NA,NA,2011-03-21
NA,NA,NA,NA,NA,2011-03-22
NA,NA,NA,NA,NA,2011-03-23
NA,NA,NA,NA,NA,2011-03-24
NA,NA,NA,NA,NA,2011-03-25
NA,NA,NA,NA,NA,2011-03-26
NA,NA,NA,NA,NA,2011-03-27
NA,NA,NA,NA,NA,2011-03-28
NA,NA,NA,NA,NA,2011-03-29
NA,NA,NA,NA,NA,2011-03-30
NA,NA,NA,NA,NA,2011-03-31
NA,NA,NA,NA,NA,2011-04-01
NA,NA,NA,NA,NA,2011-04-02
NA,NA,NA,NA,NA,2011-04-03
NA,NA,NA,NA,NA,2011-04-04
NA,NA,NA,NA,NA,2011-04-05
NA,NA,NA,NA,NA,2011-04-06
NA,NA,NA,NA,NA,2011-04-07
NA,NA,NA,NA,NA,2011-04-08
NA,NA,NA,NA,NA,2011-04-09
NA,NA,NA,NA,NA,2011-04-10
NA,NA,NA,NA,NA,2011-04-11
NA,NA,NA,NA,NA,2011-04-12
NA,NA,NA,NA,NA,2011-04-13
NA,NA,NA,NA,NA,2011-04-14
NA,NA,NA,NA,NA,2011-04-15
NA,NA,NA,NA,NA,2011-04-16
NA,NA,NA,NA,NA,2011-04-17
NA,NA,NA,NA,NA,2011-04-18
NA,NA,NA,NA,NA,2011-04-19
NA,NA,NA,NA,NA,2011-04-20
NA,NA,NA,NA,NA,2011-04-21
NA,NA,NA,NA,NA,2011-04-22
NA,NA,NA,NA,NA,2011-04-23
NA,NA,NA,NA,NA,2011-04-24
NA,NA,NA,NA,NA,2011-04-25
NA,NA,NA,NA,NA,2011-04-26
NA,NA,NA,NA,NA,2011-04-27
NA,NA,NA,NA,NA,2011-04-28
NA,NA,NA,NA,NA,2011-04-29
NA,NA,NA,NA,NA,2011-04-30
NA,NA,NA,NA,NA,2011-05-01
NA,NA,NA,NA,NA,2011-05-02
NA,NA,NA,NA,NA,2011-05-03
NA,NA,NA,NA,NA,2011-05-04
NA,NA,NA,NA,NA,2011-05-05
NA,NA,NA,NA,NA,2011-05-06
NA,NA,NA,NA,NA,2011-05-07
NA,NA,NA,NA,NA,2011-05-08
NA,NA,NA,NA,NA,2011-05-09
NA,NA,NA,NA,NA,2011-05-10
NA,NA,NA,NA,NA,2011-05-11
NA,NA,NA,NA,NA,2011-05-12
NA,NA,NA,NA,NA,2011-05-13
NA,NA,NA,NA,NA,2011-05-14
NA,NA,NA,NA,NA,2011-05-15
NA,NA,NA,NA,NA,2011-05-16
NA,NA,NA,NA,NA,2011-05-17
NA,NA,NA,NA,NA,2011-05-18
NA,NA,NA,NA,NA,2011-05-19
NA,NA,NA,NA,NA,2011-05-20
NA,NA,NA,NA,NA,2011-05-21
NA,NA,NA,NA,NA,2011-05-22
NA,NA,NA,NA,NA,2011-05-23
NA,NA,NA,NA,NA,2011-05-24
NA,NA,NA,NA,NA,2011-05-25
NA,NA,NA,NA,NA,2011-05-26
NA,NA,NA,NA,NA,2011-05-27
NA,NA,NA,NA,NA,2011-05-28
NA,NA,NA,NA,NA,2011-05-29
NA,NA,NA,NA,NA,2011-05-30
NA,NA,NA,NA,NA,2011-05-31
NA,NA,NA,NA,NA,2011-06-01
NA,NA,NA,NA,NA,2011-06-02
NA,NA,NA,NA,NA,2011-06-03
NA,NA,NA,NA,NA,2011-06-04
NA,NA,NA,NA,NA,2011-06-05
NA,NA,NA,NA,NA,2011-06-06
NA,NA,NA,NA,NA,2011-06-07
NA,NA,NA,NA,NA,2011-06-08
NA,NA,NA,NA,NA,2011-06-09
NA,NA,NA,NA,NA,2011-06-10
NA,NA,NA,NA,NA,2011-06-11
NA,NA,NA,NA,NA,2011-06-12
NA,NA,NA,NA,NA,2011-06-13
NA,NA,NA,NA,NA,2011-06-14
NA,NA,NA,NA,NA,2011-06-15
NA,NA,NA,NA,NA,2011-06-16
NA,NA,NA,NA,NA,2011-06-17
NA,NA,NA,NA,NA,2011-06-18
NA,NA,NA,NA,NA,2011-06-19
NA,NA,NA,NA,NA,2011-06-20
NA,NA,NA,NA,NA,2011-06-21
NA,NA,NA,NA,NA,2011-06-22
NA,NA,NA,NA,NA,2011-06-23
NA,NA,NA,NA,NA,2011-06-24
NA,NA,NA,NA,NA,2011-06-25
NA,NA,NA,NA,NA,2011-06-26
NA,NA,NA,NA,NA,2011-06-27
NA,NA,NA,NA,NA,2011-06-28
NA,NA,NA,NA,NA,2011-06-29
NA,NA,NA,NA,NA,2011-06-30
NA,NA,NA,NA,NA,2011-07-01
NA,NA,NA,NA,NA,2011-07-02
NA,NA,NA,NA,NA,2011-07-03
NA,NA,NA,NA,NA,2011-07-04
NA,NA,NA,NA,NA,2011-07-05
NA,NA,NA,NA,NA,2011-07-06
NA,NA,NA,NA,NA,2011-07-07
246880,515940,NA,698140,414500,2011-07-08
NA,NA,NA,NA,NA,2011-07-09
NA,NA,NA,NA,NA,2011-07-10
NA,NA,NA,NA,NA,2011-07-11
NA,NA,NA,NA,NA,2011-07-12
NA,NA,NA,NA,NA,2011-07-13
NA,NA,NA,NA,NA,2011-07-14
NA,NA,NA,NA,NA,2011-07-15
NA,NA,NA,NA,NA,2011-07-16
NA,NA,NA,NA,NA,2011-07-17
NA,NA,NA,NA,NA,2011-07-18
NA,NA,NA,NA,NA,2011-07-19
NA,NA,NA,NA,NA,2011-07-20
NA,NA,NA,NA,NA,2011-07-21
NA,NA,NA,NA,NA,2011-07-22
NA,NA,NA,NA,NA,2011-07-23
NA,NA,NA,NA,NA,2011-07-24
NA,NA,NA,NA,NA,2011-07-25
NA,NA,NA,NA,NA,2011-07-26
NA,NA,NA,NA,NA,2011-07-27
NA,NA,NA,NA,NA,2011-07-28
NA,NA,NA,NA,NA,2011-07-29
NA,NA,NA,NA,NA,2011-07-30
NA,NA,NA,NA,NA,2011-07-31
NA,NA,NA,NA,NA,2011-08-01
NA,NA,NA,NA,NA,2011-08-02
NA,NA,NA,NA,NA,2011-08-03
NA,NA,NA,NA,NA,2011-08-04
NA,NA,NA,NA,NA,2011-08-05
NA,NA,NA,NA,NA,2011-08-06
NA,NA,NA,NA,NA,2011-08-07
NA,NA,NA,NA,NA,2011-08-08
NA,NA,NA,NA,NA,2011-08-09
NA,NA,NA,NA,NA,2011-08-10
206230,474090,NA,678380,515820,2011-08-11
NA,NA,NA,NA,NA,2011-08-12
NA,NA,NA,NA,NA,2011-08-13
NA,NA,NA,NA,NA,2011-08-14
NA,NA,NA,NA,NA,2011-08-15
NA,NA,NA,NA,NA,2011-08-16
NA,NA,NA,NA,NA,2011-08-17
NA,NA,NA,NA,NA,2011-08-18
NA,NA,NA,NA,NA,2011-08-19
NA,NA,NA,NA,NA,2011-08-20
NA,NA,NA,NA,NA,2011-08-21
NA,NA,NA,NA,NA,2011-08-22
NA,NA,NA,NA,NA,2011-08-23
NA,NA,NA,NA,NA,2011-08-24
NA,NA,NA,NA,NA,2011-08-25
268190,493140,NA,684360,385040,2011-08-26
NA,NA,NA,NA,NA,2011-08-27
NA,NA,NA,NA,NA,2011-08-28
NA,NA,NA,NA,NA,2011-08-29
NA,NA,NA,NA,NA,2011-08-30
NA,NA,NA,NA,NA,2011-08-31
NA,NA,NA,NA,NA,2011-09-01
NA,NA,NA,NA,NA,2011-09-02
NA,NA,NA,NA,NA,2011-09-03
NA,NA,NA,NA,NA,2011-09-04
NA,NA,NA,NA,NA,2011-09-05
NA,NA,NA,NA,NA,2011-09-06
NA,NA,NA,NA,NA,2011-09-07
NA,NA,NA,NA,NA,2011-09-08
NA,NA,NA,NA,NA,2011-09-09
NA,NA,NA,NA,NA,2011-09-10
NA,NA,NA,NA,NA,2011-09-11
NA,NA,NA,NA,NA,2011-09-12
NA,NA,NA,NA,NA,2011-09-13
NA,NA,NA,NA,NA,2011-09-14
NA,NA,NA,NA,NA,2011-09-15
NA,NA,NA,NA,NA,2011-09-16
NA,NA,NA,NA,NA,2011-09-17
NA,NA,NA,NA,NA,2011-09-18
NA,NA,NA,NA,NA,2011-09-19
NA,NA,NA,NA,NA,2011-09-20
NA,NA,NA,NA,NA,2011-09-21
NA,NA,NA,NA,NA,2011-09-22
NA,NA,NA,NA,NA,2011-09-23
NA,NA,NA,NA,NA,2011-09-24
NA,NA,NA,NA,NA,2011-09-25
NA,NA,NA,NA,NA,2011-09-26
NA,NA,NA,NA,NA,2011-09-27
NA,NA,NA,NA,NA,2011-09-28
NA,NA,NA,NA,NA,2011-09-29
NA,NA,NA,NA,NA,2011-09-30
NA,NA,NA,NA,NA,2011-10-01
NA,NA,NA,NA,NA,2011-10-02
NA,NA,NA,NA,NA,2011-10-03
NA,NA,NA,NA,NA,2011-10-04
NA,NA,NA,NA,NA,2011-10-05
NA,NA,NA,NA,NA,2011-10-06
NA,NA,NA,NA,NA,2011-10-07
NA,NA,NA,NA,NA,2011-10-08
NA,NA,NA,NA,NA,2011-10-09
NA,NA,NA,NA,NA,2011-10-10
NA,NA,NA,NA,NA,2011-10-11
NA,NA,NA,NA,NA,2011-10-12
NA,NA,NA,NA,NA,2011-10-13
NA,NA,NA,NA,NA,2011-10-14
NA,NA,NA,NA,NA,2011-10-15
NA,NA,NA,NA,NA,2011-10-16
NA,NA,NA,NA,NA,2011-10-17
NA,NA,NA,NA,NA,2011-10-18
NA,NA,NA,NA,NA,2011-10-19
NA,NA,NA,NA,NA,2011-10-20
NA,NA,NA,NA,NA,2011-10-21
NA,NA,NA,NA,NA,2011-10-22
NA,NA,NA,NA,NA,2011-10-23
NA,NA,NA,NA,NA,2011-10-24
NA,NA,NA,NA,NA,2011-10-25
NA,NA,NA,NA,NA,2011-10-26
NA,NA,NA,NA,NA,2011-10-27
NA,NA,NA,NA,NA,2011-10-28
NA,NA,NA,NA,NA,2011-10-29
NA,NA,NA,NA,NA,2011-10-30
NA,NA,NA,NA,NA,2011-10-31
NA,NA,NA,NA,NA,2011-11-01
NA,NA,NA,NA,NA,2011-11-02
NA,NA,NA,NA,NA,2011-11-03
NA,NA,NA,NA,NA,2011-11-04
NA,NA,NA,NA,NA,2011-11-05
NA,NA,NA,NA,NA,2011-11-06
